class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date_last_updated
Health,COVID-19,Tests per day,Tests by day,Tests by day,01/03/2020,12,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,02/03/2020,29,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/03/2020,26,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,04/03/2020,25,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/03/2020,27,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,06/03/2020,66,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,07/03/2020,44,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,08/03/2020,28,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,09/03/2020,79,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,10/03/2020,88,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/03/2020,83,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,12/03/2020,97,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,13/03/2020,120,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,14/03/2020,128,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/03/2020,88,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,16/03/2020,404,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,17/03/2020,921,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,18/03/2020,1010,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,19/03/2020,1384,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,20/03/2020,1734,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,21/03/2020,1281,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,22/03/2020,873,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,23/03/2020,1898,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,24/03/2020,2192,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,25/03/2020,1952,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,26/03/2020,2088,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,27/03/2020,1853,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,28/03/2020,1366,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,29/03/2020,982,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,30/03/2020,1959,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,31/03/2020,2036,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,01/04/2020,3662,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,02/04/2020,4057,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/04/2020,4361,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,04/04/2020,2603,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/04/2020,2541,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,06/04/2020,3378,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,07/04/2020,4834,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,08/04/2020,3705,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,09/04/2020,3788,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,10/04/2020,1716,Number,15/02/2021
